strain	date	country	state	division	location	host	host_categories	clade_membership	strains	lineages	accessions	organization	DataSource	authors	journal	title	url	latitude	longitude	parent_id	parsimony	usher_annotation	autolin_proposal	lineage_name	Level_1	Level_2	Level_3	Level_4	Level_5	Level_6	Level_7	Level_8
HM488148	2004-XX-XX	USA	CT	CT/Fairfield	USA	Culex pipiens	Mosquitoes-Culex	Ia	WN02	I.a.4-NY99.WN02	HM488148	Broad Institute of MIT and Harvard	NS_NA_NCBI	Armstrong et al	"Virology 417 (1), 203-210 (2011)"	"Molecular evolution of West Nile virus in a northern temperate region: Connecticut, USA 1999-2008"	https://www.ncbi.nlm.nih.gov/pubmed/21723580	41.1408363	-73.2612615	node_4468	5	I.a.4-NY99.WN02		I.a.4-NY99.WN02	I.a.4-NY99	I.a.4-NY99.WN02	I.a.4-NY99.WN02	I.a.4-NY99.WN02	I.a.4-NY99.WN02	I.a.4-NY99.WN02	I.a.4-NY99.WN02	I.a.4-NY99.WN02
W1833	2017-07-17	USA	CO	CO/Larimer	USA	Unknown	Mosquitoes-Culex	Ia	WN02	I.a.4-NY99.WN02	W1833_2017-07-17_USA_CO_Larimer_40.344_-105.103	NS_WN4K	WN4K	WestNile4K	Unpublished	WestNile 4K Project	https://westnile4k.org/	40.6955572	-105.5943388	node_2226	0	I.a.4-NY99.WN02	New	I.a.4-NY99.WN02.3	I.a.4-NY99	I.a.4-NY99.WN02	I.a.4-NY99.WN02.3	I.a.4-NY99.WN02.3	I.a.4-NY99.WN02.3	I.a.4-NY99.WN02.3	I.a.4-NY99.WN02.3	I.a.4-NY99.WN02.3
KR348978	2008-06-27	USA	CA	CA/Kern	USA	Culex quinquefasciatus	Mosquitoes-Culex	Ia	SW03	I.a.4-NY99.WN02.SW03	KR348978	Centers for Disease Control and Prevention Division of Vector-Borne Infectious Diseases	NS_NA_NCBI	Duggal et al	"Virology 485, 79-85 (2015)"	Genotype-specific variation in West Nile virus dispersal in California	https://www.ncbi.nlm.nih.gov/pubmed/26210076	35.7546732	-118.4253627	node_2684	0	I.a.4-NY99.SW03		I.a.4-NY99.WN02	I.a.4-NY99	I.a.4-NY99.SW03	I.a.4-NY99.SW03.1	I.a.4-NY99.WN02	I.a.4-NY99.WN02	I.a.4-NY99.WN02	I.a.4-NY99.WN02	I.a.4-NY99.WN02
MG004529	2014-06-26	USA	AZ	AZ/Maricopa	USA	Culex quinquefasciatus	Mosquitoes-Culex	Ia	WN02	I.a.4-NY99.WN02	MG004529	Northern Arizona University School of Informatics Computing and Cyber Systems	NS_NA_NCBI	Hepp et al	Unpublished	Evidence for persistent establishment of West Nile Virus in the Phoenix Metropolitan area	https://www.ncbi.nlm.nih.gov/nuccore/MG004529	33.0581063	-112.0476423	node_1249	4	I.a.4-NY99.WN02	New	I.a.4-NY99.WN02.7.1.1	I.a.4-NY99	I.a.4-NY99.WN02	I.a.4-NY99.WN02.7	I.a.4-NY99.WN02.7.1	I.a.4-NY99.WN02.7.1.1	I.a.4-NY99.WN02.7.1.1	I.a.4-NY99.WN02.7.1.1	I.a.4-NY99.WN02.7.1.1
OQ721781	2016-06-22	USA	CA	CA/CA	USA	Euphagus cyanocephalus	Birds-Perching Birds	?	?	I.a.4-NY99	OQ721781.1	The Scripps Research Institute Department of Immunology and Microbiology	NCBI_Global	Grubaugh et al	Unpublished	West Nile virus genomic data from North America	https://www.ncbi.nlm.nih.gov/nuccore/OQ721781	36.778259	-119.417931	node_4077	0	I.a.4-NY99.WN02	New	I.a.4-NY99.WN02.2.2.1.1	I.a.4-NY99	I.a.4-NY99.WN02	I.a.4-NY99.WN02.2	I.a.4-NY99.WN02.2.2	I.a.4-NY99.WN02.2.2.1	I.a.4-NY99.WN02.2.2.1.1	I.a.4-NY99.WN02.2.2.1.1	I.a.4-NY99.WN02.2.2.1.1
DQ080052	2003-08-01	USA	AZ	AZ/Maricopa	USA	Culex tarsalis	Mosquitoes-Culex	Ia	SW03	I.a.4-NY99.WN02.SW03	DQ080052	University of Texas Medical Branch Department of Experimental Pathology	NS_NA_NCBI	Deardorff et al	"Emerging Infect. Dis. 12 (2), 314-318 (2006)"	Introductions of West Nile virus strains to Mexico	https://www.ncbi.nlm.nih.gov/pubmed/16494762	33.0581063	-112.0476423	node_2578	3	I.a.4-NY99.SW03		I.a.4-NY99.WN02	I.a.4-NY99	I.a.4-NY99.SW03	I.a.4-NY99.SW03.1	I.a.4-NY99.WN02	I.a.4-NY99.WN02	I.a.4-NY99.WN02	I.a.4-NY99.WN02	I.a.4-NY99.WN02
KM203862	2013-08-08	CZE	South Moravia	South Moravia/Mlynsky fishpond at Lednice	Global	Culex modestus	Mosquitoes-Culex	?	?	II	KM203862.1	Institute of Virology University of Veterinary Medicine Vienna Viral Zoonoses Emerging and Vector-Borne Infections Group	NCBI_Global	Rudolf et al	Euro Surveill. 19 (31) (2014)	"West Nile virus lineage 2 isolated from Culex modestus mosquitoes in the Czech Republic, 2013: expansion of the European WNV endemic area to the North?"	https://www.ncbi.nlm.nih.gov/pubmed/25138970	48.7999181	16.8033976	node_192	5	II	New	II.1.1	I.a	I.a.4-NY99	II	II.1	II.1.1	II.1.1	II.1.1	II.1.1
KF704147	2010-08-01	USA	AZ	AZ/AZ	USA	Culex quinquefasciatus	Mosquitoes-Culex	Ia	SW03	I.a.4-NY99.WN02.SW03	KF704147	Centers for Disease Control and Prevention	NS_NA_NCBI	Plante et al	"Emerging Infect. Dis. 20 (2), 272-275 (2014)"	"Co-circulation of West Nile Virus Variants, Arizona, USA, 2010"	https://www.ncbi.nlm.nih.gov/pubmed/24447818	34.048927	-111.093735	node_2597	17	I.a.4-NY99.SW03		I.a.4-NY99.WN02	I.a.4-NY99	I.a.4-NY99.SW03	I.a.4-NY99.SW03.1	I.a.4-NY99.WN02	I.a.4-NY99.WN02	I.a.4-NY99.WN02	I.a.4-NY99.WN02	I.a.4-NY99.WN02
W694	2013-07-19	USA	CA	CA/CA	USA	Unknown	Mosquitoes-Culex	Ia	WN02	I.a.4-NY99.WN02	W694	NS_WN4K	NS_NA_WN4K	WestNile4K	Unpublished	WestNile 4K Project	https://westnile4k.org/	36.778259	-119.417931	node_4083	1	I.a.4-NY99.WN02	New	I.a.4-NY99.WN02.2.2.1.3	I.a.4-NY99	I.a.4-NY99.WN02	I.a.4-NY99.WN02.2	I.a.4-NY99.WN02.2.2	I.a.4-NY99.WN02.2.2.1	I.a.4-NY99.WN02.2.2.1.3	I.a.4-NY99.WN02.2.2.1.3	I.a.4-NY99.WN02.2.2.1.3
KX547318	2006-08-19	USA	NY	NY/Niagara	USA	Cyanocitta cristata	Birds-Perching Birds	Ia	SW03	I.a.4-NY99.WN02.SW03	KX547318	J. Craig Venter Institute	NS_NA_NCBI	Shabman et al	"Submitted (12-JUL-2016) J. Craig Venter Institute, 9704 Medical Center Drive, Rockville, MD 20850, USA"	Direct Submission	https://www.ncbi.nlm.nih.gov/nuccore/KX547318	43.3119	-78.7476	node_2973	20	I.a.4-NY99.SW03		I.a.4-NY99.WN02	I.a.4-NY99	I.a.4-NY99.SW03	I.a.4-NY99.SW03.4	I.a.4-NY99.SW03.4.1	I.a.4-NY99.WN02	I.a.4-NY99.WN02	I.a.4-NY99.WN02	I.a.4-NY99.WN02
OQ721272	2010-10-13	USA	CA	CA/CA	USA	Culex pipiens	Mosquitoes-Culex	?	?	I.a.4-NY99	OQ721272.1	The Scripps Research Institute Department of Immunology and Microbiology	NCBI_Global	Grubaugh et al	Unpublished	West Nile virus genomic data from North America	https://www.ncbi.nlm.nih.gov/nuccore/OQ721272	36.778259	-119.417931	node_3867	0	I.a.4-NY99.WN02	New	I.a.4-NY99.WN02.2.1	I.a.4-NY99	I.a.4-NY99.WN02	I.a.4-NY99.WN02.2	I.a.4-NY99.WN02.2.1	I.a.4-NY99.WN02.2.1	I.a.4-NY99.WN02.2.1	I.a.4-NY99.WN02.2.1	I.a.4-NY99.WN02.2.1
W1789	2013-09-02	USA	CO	CO/Larimer	USA	Unknown	Mosquitoes-Culex	Ia	WN02	I.a.4-NY99.WN02	W1789_2013-09-02_USA_CO_Larimer_40.599_-105.006	NS_WN4K	WN4K	WestNile4K	Unpublished	WestNile 4K Project	https://westnile4k.org/	40.6955572	-105.5943388	node_1844	19	I.a.4-NY99.WN02	New	I.a.4-NY99.WN02.1.2.1	I.a.4-NY99	I.a.4-NY99.WN02	I.a.4-NY99.WN02.1	I.a.4-NY99.WN02.1.2	I.a.4-NY99.WN02.1.2.1	I.a.4-NY99.WN02.1.2.1	I.a.4-NY99.WN02.1.2.1	I.a.4-NY99.WN02.1.2.1
MH819447	2013-08-26	CAN	Quebec	Quebec/Quebec	Global	Culex	Mosquitoes-Culex	Ia	WN02	I.a.4-NY99.WN02	MH819447.1	Laboratoire de sante publique du Quebec Bacteriologie	NCBI_Global	Therrien et al	Virology (2019) In press	"Phylogenetic analysis of West Nile virus in Quebec, Canada, 2004-2016: Co-circulation of distinct variants harbouring conserved amino acid motifs in North America"	https://www.ncbi.nlm.nih.gov/nuccore/MH819447	45.363209	-73.738533	node_2285	4	I.a.4-NY99.WN02	New	I.a.4-NY99.WN02.3.1.6	I.a.4-NY99	I.a.4-NY99.WN02	I.a.4-NY99.WN02.3	I.a.4-NY99.WN02.3.1	I.a.4-NY99.WN02.3.1.6	I.a.4-NY99.WN02.3.1.6	I.a.4-NY99.WN02.3.1.6	I.a.4-NY99.WN02.3.1.6
OQ721558	2018-07-25	USA	OH	OH/OH	USA	Unknown	Unknown	?	?	I.a.4-NY99	OQ721558.1	The Scripps Research Institute Department of Immunology and Microbiology	NCBI_Global	Grubaugh et al	Unpublished	West Nile virus genomic data from North America	https://www.ncbi.nlm.nih.gov/nuccore/OQ721558	40.2253569	-82.6881394	node_2000	0	I.a.4-NY99.WN02	New	I.a.4-NY99.WN02.1.4.1.3	I.a.4-NY99	I.a.4-NY99.WN02	I.a.4-NY99.WN02.1	I.a.4-NY99.WN02.1.4	I.a.4-NY99.WN02.1.4.1	I.a.4-NY99.WN02.1.4.1.3	I.a.4-NY99.WN02.1.4.1.3	I.a.4-NY99.WN02.1.4.1.3
W058	2013-11-01	USA	CA	CA/CA	USA	Unknown	Birds-Perching Birds	Ia	WN02	I.a.4-NY99.WN02	W058	NS_WN4K	NS_NA_WN4K	WestNile4K	Unpublished	WestNile 4K Project	https://westnile4k.org/	36.778259	-119.417931	node_3413	2	I.a.4-NY99.WN02	New	I.a.4-NY99.WN02.2.4	I.a.4-NY99	I.a.4-NY99.WN02	I.a.4-NY99.WN02.2	I.a.4-NY99.WN02.2.4	I.a.4-NY99.WN02.2.4	I.a.4-NY99.WN02.2.4	I.a.4-NY99.WN02.2.4	I.a.4-NY99.WN02.2.4
KX547246	2002-09-06	USA	NY	NY/Chemung	USA	Corvus brachyrhynchos	Birds-Perching Birds	Ia	WN02	I.a.4-NY99.WN02	KX547246	J. Craig Venter Institute	NS_NA_NCBI	Shabman et al	"Submitted (12-JUL-2016) J. Craig Venter Institute, 9704 Medical Center Drive, Rockville, MD 20850, USA"	Direct Submission	https://www.ncbi.nlm.nih.gov/nuccore/KX547246	42.14118823	-76.76001028	node_3192	7	I.a.4-NY99.WN02	New	I.a.4-NY99.WN02.4.1	I.a.4-NY99	I.a.4-NY99.WN02	I.a.4-NY99.WN02.4	I.a.4-NY99.WN02.4.1	I.a.4-NY99.WN02.4.1	I.a.4-NY99.WN02.4.1	I.a.4-NY99.WN02.4.1	I.a.4-NY99.WN02.4.1
KJ501234	2001-XX-XX	USA	AR	AR/Saline	USA	Cyanocitta cristata	Birds-Perching Birds	Ia	NY99	I.a.4-NY99	KJ501234	Broad Institute of MIT & Harvard	NS_NA_NCBI	Newman et al	"Submitted (24-FEB-2014) Broad Institute of MIT & Harvard, 7 Cambridge Center, Cambridge, MA 02142, USA"	Direct Submission	https://www.ncbi.nlm.nih.gov/nuccore/KJ501234	33.8734364	-92.2670918	node_971	3	I.a.4-NY99		I.a.4-NY99	I.a.4-NY99	I.a.4-NY99	I.a.4-NY99	I.a.4-NY99	I.a.4-NY99	I.a.4-NY99	I.a.4-NY99	I.a.4-NY99
KJ501337	2002-XX-XX	USA	AL	AL/AL	USA	Corvus brachyrhynchos	Birds-Perching Birds	Ia	WN02	I.a.4-NY99.WN02	KJ501337|2002|USA|	Broad Institute of MIT & Harvard	NS_NA_NCBI	Newman et al	"Submitted (24-FEB-2014) Broad Institute of MIT & Harvard, 7 Cambridge Center, Cambridge, MA 02142, USA"	Direct Submission	https://www.ncbi.nlm.nih.gov/nuccore/KJ501337	40.0757384	-74.4041621	node_4252	0	I.a.4-NY99.WN02	New	I.a.4-NY99.WN02.26	I.a.4-NY99	I.a.4-NY99.WN02	I.a.4-NY99.WN02.26	I.a.4-NY99.WN02.26	I.a.4-NY99.WN02.26	I.a.4-NY99.WN02.26	I.a.4-NY99.WN02.26	I.a.4-NY99.WN02.26
KJ501215	2012-XX-XX	USA	CO	CO/Larimer	USA	Culex pipiens	Mosquitoes-Culex	Ia	WN02	I.a.4-NY99.WN02	KJ501215|2012|USA|	Broad Institute of MIT & Harvard	NS_NA_NCBI	Newman et al	"Submitted (24-FEB-2014) Broad Institute of MIT & Harvard, 7 Cambridge Center, Cambridge, MA 02142, USA"	Direct Submission	https://www.ncbi.nlm.nih.gov/nuccore/KJ501215	40.6955572	-105.5943388	node_1092	2	I.a.4-NY99.WN02		I.a.4-NY99.WN02	I.a.4-NY99	I.a.4-NY99.WN02	I.a.4-NY99.WN02	I.a.4-NY99.WN02	I.a.4-NY99.WN02	I.a.4-NY99.WN02	I.a.4-NY99.WN02	I.a.4-NY99.WN02
HH961658	?	Unknown	Unknown	Unknown	Global	Unknown	Unknown	?	?	I.a.4-NY99	HH961658.1	NULL	NCBI_Global	Wong et al	Patent: EP 1601947-A2 1 07-DEC-2005; HEALTH RESEARCH INC [US]	Diagnostic test for west nile virus	https://www.ncbi.nlm.nih.gov/nuccore/HH961658	Unknown	Unknown	node_912	0	I.a.4-NY99		I.a.4-NY99	I.a.4-NY99	I.a.4-NY99	I.a.4-NY99	I.a.4-NY99	I.a.4-NY99	I.a.4-NY99	I.a.4-NY99	I.a.4-NY99
GU828002	2003-XX-XX	USA	TX	TX/Harris	USA	Culex quinquefasciatus	Mosquitoes-Culex	Ia	WN02	I.a.4-NY99.WN02	GU828002	University of Texas Medical Branch Department of Pathology	NS_NA_NCBI	May et al	"Virology 405 (1), 8-14 (2010)"	Multiple pathways to the attenuation of West Nile virus in South-East Texas in 2003	https://www.ncbi.nlm.nih.gov/pubmed/20580395	31.8160381	-99.5120985	node_3345	5	I.a.4-NY99.WN02		I.a.4-NY99.WN02	I.a.4-NY99	I.a.4-NY99.WN02	I.a.4-NY99.WN02	I.a.4-NY99.WN02	I.a.4-NY99.WN02	I.a.4-NY99.WN02	I.a.4-NY99.WN02	I.a.4-NY99.WN02
KJ501192	2007-XX-XX	USA	USA	USA/USA	Unknown	Culex tarsalis	Mosquitoes-Culex	?	?	I.a.4-NY99	KJ501192.1	Broad Institute of MIT & Harvard	NCBI_Global	Newman et al	"Submitted (24-FEB-2014) Broad Institute of MIT & Harvard, 7 Cambridge Center, Cambridge, MA 02142, USA"	Direct Submission	https://www.ncbi.nlm.nih.gov/nuccore/KJ501192	37.0902	-95.7129	node_3966	1	I.a.4-NY99.WN02	New	I.a.4-NY99.WN02.2.9.1	I.a.4-NY99	I.a.4-NY99.WN02	I.a.4-NY99.WN02.2	I.a.4-NY99.WN02.2.9	I.a.4-NY99.WN02.2.9.1	I.a.4-NY99.WN02.2.9.1	I.a.4-NY99.WN02.2.9.1	I.a.4-NY99.WN02.2.9.1
KP789959	2014-XX-XX	ITA	Unknown	ITA	Global	Homo sapiens	Mammals-Human	?	?	II	KP789959.1	University of Padua Department of Molecular Medicine	NCBI_Global	Barzon et al	Unpublished	Genetic diversity and geographical clustering of West Nile virus lineage 2 in Europe	https://www.ncbi.nlm.nih.gov/nuccore/KP789959	41.87194	12.56738	node_398	9	II	New	II.1.1.2	I.a	I.a.4-NY99	II	II.1	II.1.1	II.1.1.2	II.1.1.2	II.1.1.2
MF175812	2012-09-05	USA	TX	TX/TX	USA	Culex quinquefasciatus	Mosquitoes-Culex	Ia	WN02	I.a.4-NY99.WN02	MF175812.1	UT Southwestern Medical Center Department of Immunology	NS_NA_NCBI	Aroh et al	Unpublished	"2012 West Nile Virus differ in frequency of introductions into Texas and ability to overwinter, 2012-2015"	https://www.ncbi.nlm.nih.gov/nuccore/MF175812	31.8160381	-99.5120985	node_1889	11	I.a.4-NY99.WN02	New	I.a.4-NY99.WN02.1.2	I.a.4-NY99	I.a.4-NY99.WN02	I.a.4-NY99.WN02.1	I.a.4-NY99.WN02.1.2	I.a.4-NY99.WN02.1.2	I.a.4-NY99.WN02.1.2	I.a.4-NY99.WN02.1.2	I.a.4-NY99.WN02.1.2
W1778	2013-08-19	USA	CO	CO/Larimer	USA	Unknown	Mosquitoes-Culex	Ia	WN02	I.a.4-NY99.WN02	W1778_2013-08-19_USA_CO_Larimer_40.570_-105.071	NS_WN4K	WN4K	WestNile4K	Unpublished	WestNile 4K Project	https://westnile4k.org/	40.6955572	-105.5943388	node_1648	0	I.a.4-NY99.WN02	New	I.a.4-NY99.WN02.1.1	I.a.4-NY99	I.a.4-NY99.WN02	I.a.4-NY99.WN02.1	I.a.4-NY99.WN02.1.1	I.a.4-NY99.WN02.1.1	I.a.4-NY99.WN02.1.1	I.a.4-NY99.WN02.1.1	I.a.4-NY99.WN02.1.1
MH170231	2003-XX-XX	USA	CO	CO/CO	USA	Spinus tristis	Birds-Perching Birds	Ia	WN02	I.a.4-NY99.WN02	MH170231.1	University of Texas Medical Branch Microbiology and Immunology	NS_NA_NCBI	Swetnam et al	Emerging Infect. Dis. 24 (12) (2018) In press	"Terrestrial Bird Migration and West Nile Virus Circulation, United States"	https://www.ncbi.nlm.nih.gov/nuccore/MH170231	39.113014	-105.358887	node_3253	10	I.a.4-NY99.WN02	New	I.a.4-NY99.WN02.4.1.1.1	I.a.4-NY99	I.a.4-NY99.WN02	I.a.4-NY99.WN02.4	I.a.4-NY99.WN02.4.1	I.a.4-NY99.WN02.4.1.1	I.a.4-NY99.WN02.4.1.1.1	I.a.4-NY99.WN02.4.1.1.1	I.a.4-NY99.WN02.4.1.1.1
MF175817	2013-07-30	USA	TX	TX/TX	USA	Culex quinquefasciatus	Mosquitoes-Culex	Ia	WN02	I.a.4-NY99.WN02	MF175817.1	UT Southwestern Medical Center Department of Immunology	NS_NA_NCBI	Aroh et al	Unpublished	"2012 West Nile Virus differ in frequency of introductions into Texas and ability to overwinter, 2012-2015"	https://www.ncbi.nlm.nih.gov/nuccore/MF175817	31.8160381	-99.5120985	node_1915	31	I.a.4-NY99.WN02	New	I.a.4-NY99.WN02.1.2.3	I.a.4-NY99	I.a.4-NY99.WN02	I.a.4-NY99.WN02.1	I.a.4-NY99.WN02.1.2	I.a.4-NY99.WN02.1.2.3	I.a.4-NY99.WN02.1.2.3	I.a.4-NY99.WN02.1.2.3	I.a.4-NY99.WN02.1.2.3
OQ721508	2017-08-14	USA	IA	IA/IA	USA	Culex restuans	Mosquitoes-Culex	?	?	I.a.4-NY99	OQ721508.1	The Scripps Research Institute Department of Immunology and Microbiology	NCBI_Global	Grubaugh et al	Unpublished	West Nile virus genomic data from North America	https://www.ncbi.nlm.nih.gov/nuccore/OQ721508	42.032974	-93.581543	node_1817	12	I.a.4-NY99.WN02	New	I.a.4-NY99.WN02.1.3	I.a.4-NY99	I.a.4-NY99.WN02	I.a.4-NY99.WN02.1	I.a.4-NY99.WN02.1.3	I.a.4-NY99.WN02.1.3	I.a.4-NY99.WN02.1.3	I.a.4-NY99.WN02.1.3	I.a.4-NY99.WN02.1.3
