KJ501239,2008,USA,MN,Lacqui-Parle,USA,Phalacrocorax auritus,Birds-Seabirds,1a,WN02,KJ501239,Broad Institute of MIT & Harvard,NS_NA_NCBI,Newman et al,45.000514,-95.9061427
KJ501240,2008,USA,MN,Lacqui-Parle,USA,Phalacrocorax auritus,Birds-Seabirds,1a,WN02,KJ501240,Broad Institute of MIT & Harvard,NS_NA_NCBI,Newman et al,45.000514,-95.9061427
KJ501255,2008,USA,ND,Stutsman,USA,Pelecanus erythrorhynchos,Birds-Seabirds,1a,WN02,KJ501255,Broad Institute of MIT & Harvard,NS_NA_NCBI,Newman et al,46.939184,-98.9909139
KJ501236,2009,USA,CA,Imperial,USA,Pelecanus erythrorhynchos,Birds-Seabirds,1a,SW03,KJ501236,Broad Institute of MIT & Harvard,NS_NA_NCBI,Newman et al,32.8475528,-115.5694391
KJ501441,2008,USA,SD,Pennington,USA,Buteo regalis,Birds-Hawks and Eagles,1a,WN02,KJ501441,Broad Institute of MIT & Harvard,NS_NA_NCBI,Newman et al,43.8901111,-102.2547919
KJ501293,2003,USA,MD,Prince-George's,USA,Falco sparverius,Birds-Hawks and Eagles,1a,NY99,KJ501293,Broad Institute of MIT & Harvard,NS_NA_NCBI,Newman et al,38.7849211,-76.8720961
KJ501276,2002,USA,OH,Hancock,USA,Bubo virginianus,Birds-Owls,1a,NY99,KJ501276,Broad Institute of MIT & Harvard,NS_NA_NCBI,Newman et al,41.0273131,-83.6773928
KJ501374,2001,USA,NJ,Union,USA,Buteo jamaicensis,Birds-Hawks and Eagles,1a,NY99,KJ501374,Broad Institute of MIT & Harvard,NS_NA_NCBI,Newman et al,40.6975898,-74.2631635
KJ501493,2001,USA,DC,Washington DC,USA,Mimus,Birds-Perching Birds,1a,NY99,KJ501493,Broad Institute of MIT & Harvard,NS_NA_NCBI,Newman et al,38.9071923,-77.0368707
KJ501465,2001,USA,MI,Oakland,USA,Corvus brachyrhynchos,Birds-Perching Birds,1a,NY99,KJ501465,Broad Institute of MIT & Harvard,NS_NA_NCBI,Newman et al,42.7561109,-83.1434573
KJ501515,2001,USA,NJ,Middlesex,USA,Buteo jamaicensis,Birds-Hawks and Eagles,1a,NY99,KJ501515,Broad Institute of MIT & Harvard,NS_NA_NCBI,Newman et al,40.572603,-74.4926541
KJ501277,2001,USA,PA,Philadelphia,USA,Corvus brachyrhynchos,Birds-Perching Birds,1a,NY99,KJ501277,Broad Institute of MIT & Harvard,NS_NA_NCBI,Newman et al,39.9525839,-75.1652215
KJ501269,2001,USA,NJ,Middlesex,USA,Falco sparverius,Birds-Hawks and Eagles,1a,NY99,KJ501269,Broad Institute of MIT & Harvard,NS_NA_NCBI,Newman et al,40.572603,-74.4926541
KJ501486,2001,USA,NJ,Mercer,USA,Buteo jamaicensis,Birds-Hawks and Eagles,1a,NY99,KJ501486,Broad Institute of MIT & Harvard,NS_NA_NCBI,Newman et al,40.3028533,-74.7337069
KJ501378,2001,USA,PA,Bucks,USA,Corvus brachyrhynchos,Birds-Perching Birds,1a,NY99,KJ501378,Broad Institute of MIT & Harvard,NS_NA_NCBI,Newman et al,40.4107964,-75.2479061
KJ501288,2001,USA,DC,Washington DC,USA,Corvus brachyrhynchos,Birds-Perching Birds,1a,NY99,KJ501288,Broad Institute of MIT & Harvard,NS_NA_NCBI,Newman et al,38.9071923,-77.0368707
KJ501494,2001,USA,DC,Washington DC,USA,Corvus brachyrhynchos,Birds-Perching Birds,1a,NY99,KJ501494,Broad Institute of MIT & Harvard,NS_NA_NCBI,Newman et al,38.9071923,-77.0368707
KJ501289,2001,USA,DC,Washington DC,USA,Corvus brachyrhynchos,Birds-Perching Birds,1a,NY99,KJ501289,Broad Institute of MIT & Harvard,NS_NA_NCBI,Newman et al,38.9071923,-77.0368707
KJ501343,2001,USA,DC,Washington DC,USA,Corvus brachyrhynchos,Birds-Perching Birds,1a,NY99,KJ501343,Broad Institute of MIT & Harvard,NS_NA_NCBI,Newman et al,38.9071923,-77.0368707
KJ501362,2001,USA,OH,Cuyahoga,USA,Corvus brachyrhynchos,Birds-Perching Birds,1a,NY99,KJ501362,Broad Institute of MIT & Harvard,NS_NA_NCBI,Newman et al,41.7048247,-81.7787021
KJ501516,2001,USA,OH,Wood,USA,Corvus brachyrhynchos,Birds-Perching Birds,1a,NY99,KJ501516,Broad Institute of MIT & Harvard,NS_NA_NCBI,Newman et al,41.3478458,-83.6773928
KJ501480,2001,USA,MD,Anne-Arundel,USA,Corvus brachyrhynchos,Birds-Perching Birds,1a,NY99,KJ501480,Broad Institute of MIT & Harvard,NS_NA_NCBI,Newman et al,38.9530109,-76.5488232
KJ501379,2001,USA,WI,Dane,USA,Cyanocitta cristata,Birds-Perching Birds,1a,NY99,KJ501379,Broad Institute of MIT & Harvard,NS_NA_NCBI,Newman et al,43.2505472,-89.5015088
KJ501233,2001,USA,AR,Union,USA,Cyanocitta cristata,Birds-Perching Birds,1a,NY99,KJ501233,Broad Institute of MIT & Harvard,NS_NA_NCBI,Newman et al,33.1431092,-92.539603
KJ501468,2001,USA,MS,Adams,USA,Sturnidae,Birds-Perching Birds,1a,NY99,KJ501468,Broad Institute of MIT & Harvard,NS_NA_NCBI,Newman et al,31.5305353,-91.2891036
KJ501473,2001,USA,IL,Dupage,USA,Corvus brachyrhynchos,Birds-Perching Birds,1a,NY99,KJ501473,Broad Institute of MIT & Harvard,NS_NA_NCBI,Newman et al,41.8243831,-88.0900762
KJ501264,2001,USA,GA,Fulton,USA,Cyanocitta cristata,Birds-Perching Birds,1a,NY99,KJ501264,Broad Institute of MIT & Harvard,NS_NA_NCBI,Newman et al,33.8033965,-84.3962535
KJ501455,2001,USA,AL,Montgomery,USA,Cyanocitta cristata,Birds-Perching Birds,1a,NY99,KJ501455,Broad Institute of MIT & Harvard,NS_NA_NCBI,Newman et al,32.36681,-86.29997
DQ080071,2002-08-01,MEX,Aramberri,La Florida,Global,Equus caballus,Mammals-Horse,1a,NY99,DQ080071,University of Texas Medical Branch Department of Experimental Pathology,NS_NA_NCBI,Deardorff et al,19.3577933,-99.1859601
KJ501268,2001,USA,NJ,Ocean,USA,Falco,Birds-Hawks and Eagles,1a,NY99,KJ501268,Broad Institute of MIT & Harvard,NS_NA_NCBI,Newman et al,40.2645806,-74.0420699
KJ501363,2001,USA,OH,Franklin,USA,Corvus brachyrhynchos,Birds-Perching Birds,1a,NY99,KJ501363,Broad Institute of MIT & Harvard,NS_NA_NCBI,Newman et al,39.5589474,-84.3041074
KJ501395,2001,USA,VA,Arlington,USA,Corvus brachyrhynchos,Birds-Perching Birds,1a,NY99,KJ501395,Broad Institute of MIT & Harvard,NS_NA_NCBI,Newman et al,38.8816208,-77.0909809
KJ501275,2001,USA,OH,Cuyahoga,USA,Corvus brachyrhynchos,Birds-Perching Birds,1a,NY99,KJ501275,Broad Institute of MIT & Harvard,NS_NA_NCBI,Newman et al,41.7048247,-81.7787021
KJ501512,2001,USA,GA,Fulton,USA,Corvus brachyrhynchos,Birds-Perching Birds,1a,NY99,KJ501512,Broad Institute of MIT & Harvard,NS_NA_NCBI,Newman et al,33.8033965,-84.3962535
KJ501235,2001,USA,AR,Sebastian,USA,Cyanocitta cristata,Birds-Perching Birds,1a,NY99,KJ501235,Broad Institute of MIT & Harvard,NS_NA_NCBI,Newman et al,35.2260397,-94.315422
KJ501234,2001,USA,AR,Saline,USA,Cyanocitta cristata,Birds-Perching Birds,1a,NY99,KJ501234,Broad Institute of MIT & Harvard,NS_NA_NCBI,Newman et al,33.8734364,-92.2670918
KJ501282,2001,USA,WI,Waushara,USA,Bubo virginianus,Birds-Owls,1a,NY99,KJ501282,Broad Institute of MIT & Harvard,NS_NA_NCBI,Newman et al,44.1313128,-89.2086773
KJ501443,2001,USA,IL,Will,USA,Corvus brachyrhynchos,Birds-Perching Birds,1a,NY99,KJ501443,Broad Institute of MIT & Harvard,NS_NA_NCBI,Newman et al,41.5054724,-88.0900762
KJ501259,2008,USA,SD,Yankton,USA,Sternula antillarum,Birds-Seabirds,1a,WN02,KJ501259,Broad Institute of MIT & Harvard,NS_NA_NCBI,Newman et al,42.8711088,-97.3972813
KJ501241,2009,USA,MN,Swift,USA,Pelecanus erythrorhynchos,Birds-Seabirds,1a,WN02,KJ501241,Broad Institute of MIT & Harvard,NS_NA_NCBI,Newman et al,48.8533195,-95.2213442
KJ501257,2002,USA,ND,Grand-Forks,USA,Corvus brachyrhynchos,Birds-Perching Birds,1a,WN02,KJ501257,Broad Institute of MIT & Harvard,NS_NA_NCBI,Newman et al,47.9252568,-97.0328547
KJ501253,2008,USA,ND,Burleigh,USA,Sternula antillarum,Birds-Seabirds,1a,SW03,KJ501253,Broad Institute of MIT & Harvard,NS_NA_NCBI,Newman et al,47.0448552,-100.5049676
KJ501324,2003,USA,MN,Otter-Tail,USA,Pelecanus erythrorhynchos,Birds-Seabirds,1a,SW03,KJ501324,Broad Institute of MIT & Harvard,NS_NA_NCBI,Newman et al,46.425516,-95.5572643
KJ501485,2006,USA,NV,Churchill,USA,Pelecanus erythrorhynchos,Birds-Seabirds,1a,SW03,KJ501485,Broad Institute of MIT & Harvard,NS_NA_NCBI,Newman et al,39.6626678,-118.4863963
KJ501385,2004,USA,MT,Sheridan,USA,Buteo swainsoni,Birds-Hawks and Eagles,1a,SW03,KJ501385,Broad Institute of MIT & Harvard,NS_NA_NCBI,Newman et al,45.4554809,-112.1969372
DQ080069,2003-08-01,MEX,Tamaulipas,Tamaulipas,Global,Equus caballus,Mammals-Horse,1a,SW03,DQ080069,University of Texas Medical Branch Department of Experimental Pathology,NS_NA_NCBI,Deardorff et al,25.869028,-97.502739
DQ080070,2003-08-01,MEX,Sonora,Sonora,Global,Quiscalus,Birds-Perching Birds,1a,SW03,DQ080070,University of Texas Medical Branch Department of Experimental Pathology,NS_NA_NCBI,Deardorff et al,29.646111,-110.868889
DQ080063,2003-08-01,MEX,Baja Calfornia Norte,Baja Calfornia Norte,Global,Columbidae,Birds-Pigeons and Doves,1a,SW03,DQ080063,University of Texas Medical Branch Department of Experimental Pathology,NS_NA_NCBI,Deardorff et al,32.663334,-115.467781
DQ080064,2003-08-01,MEX,Baja Calfornia Norte,Baja Calfornia Norte,Global,Fulica,Birds-Waterfowls,1a,SW03,DQ080064,University of Texas Medical Branch Department of Experimental Pathology,NS_NA_NCBI,Deardorff et al,32.663334,-115.467781
DQ080065,2003-08-01,MEX,Baja Calfornia Norte,Baja Calfornia Norte,Global,Quiscalus,Birds-Perching Birds,1a,SW03,DQ080065,University of Texas Medical Branch Department of Experimental Pathology,NS_NA_NCBI,Deardorff et al,32.663334,-115.467781
DQ080067,2003-08-01,MEX,Baja Calfornia Norte,Baja Calfornia Norte,Global,Butorides virescens,Birds-Wading Birds,1a,SW03,DQ080067,University of Texas Medical Branch Department of Experimental Pathology,NS_NA_NCBI,Deardorff et al,32.663334,-115.467781
DQ080068,2003-08-01,MEX,Baja Calfornia Norte,Baja Calfornia Norte,Global,Ardeidae,Birds-Wading Birds,1a,SW03,DQ080068,University of Texas Medical Branch Department of Experimental Pathology,NS_NA_NCBI,Deardorff et al,32.663334,-115.467781
DQ080066,2003-08-01,MEX,Baja Calfornia Norte,Baja Calfornia Norte,Global,Phalacrocoracidae,Birds-Seabirds,1a,SW03,DQ080066,University of Texas Medical Branch Department of Experimental Pathology,NS_NA_NCBI,Deardorff et al,32.663334,-115.467781
KJ501471,2005,USA,AZ,Coconino,USA,Haliaeetus leucocephalus,Birds-Hawks and Eagles,1a,SW03,KJ501471,Broad Institute of MIT & Harvard,NS_NA_NCBI,Newman et al,35.6647545,-111.4752851
KJ501335,2005,USA,WI,Dodge,USA,Pelecanus erythrorhynchos,Birds-Seabirds,1a,SW03,KJ501335,Broad Institute of MIT & Harvard,NS_NA_NCBI,Newman et al,44.1321852,-91.5520942
KJ501323,2003,USA,MN,Lacqui-Parle,USA,Pelecanus erythrorhynchos,Birds-Seabirds,1a,SW03,KJ501323,Broad Institute of MIT & Harvard,NS_NA_NCBI,Newman et al,45.000514,-95.9061427
KJ501349,2003,USA,ND,Logan,USA,Larus delawarensis,Birds-Seabirds,1a,SW03,KJ501349,Broad Institute of MIT & Harvard,NS_NA_NCBI,Newman et al,48.1483433,-101.1537688
KJ501297,2003,USA,MT,Phillips,USA,Pelecanus erythrorhynchos,Birds-Seabirds,1a,SW03,KJ501297,Broad Institute of MIT & Harvard,NS_NA_NCBI,Newman et al,48.4519289,-107.8777779
KJ501462,2002,USA,UT,Weber,USA,Buteo jamaicensis,Birds-Hawks and Eagles,1a,SW03,KJ501462,Broad Institute of MIT & Harvard,NS_NA_NCBI,Newman et al,41.2602635,-111.9522491
KJ501348,2003,USA,NM,Socorro,USA,Pelecanus erythrorhynchos,Birds-Seabirds,1a,SW03,KJ501348,Broad Institute of MIT & Harvard,NS_NA_NCBI,Newman et al,34.0583995,-106.8914159
KJ501330,2005,USA,ND,Mclean,USA,Sternula,Birds-Seabirds,1a,WN02,KJ501330,Broad Institute of MIT & Harvard,NS_NA_NCBI,Newman et al,47.6185079,-101.131122
KJ501254,2008,USA,ND,Mclean,USA,Branta canadensis,Birds-Waterfowls,1a,WN02,KJ501254,Broad Institute of MIT & Harvard,NS_NA_NCBI,Newman et al,47.6185079,-101.131122
KJ501381,2003,USA,MN,Lacqui-Parle,USA,Pelecanus erythrorhynchos,Birds-Seabirds,1a,SW03,KJ501381,Broad Institute of MIT & Harvard,NS_NA_NCBI,Newman et al,45.000514,-95.9061427
KJ501459,2003,USA,OK,Payne,USA,Corvus brachyrhynchos,Birds-Perching Birds,1a,WN02,KJ501459,Broad Institute of MIT & Harvard,NS_NA_NCBI,Newman et al,34.9061837,-97.5300307
KJ501470,2003,USA,SD,Day,USA,Larus delawarensis,Birds-Seabirds,1a,WN02,KJ501470,Broad Institute of MIT & Harvard,NS_NA_NCBI,Newman et al,45.4167482,-97.7023716
KJ501474,2002,USA,IA,Kossuth,USA,Bubo virginianus,Birds-Owls,1a,WN02,KJ501474,Broad Institute of MIT & Harvard,NS_NA_NCBI,Newman et al,41.0105906,-91.1345917
KJ501507,2001,USA,SD,Bennett,USA,Pelecanus erythrorhynchos,Birds-Seabirds,1a,WN02,KJ501507,Broad Institute of MIT & Harvard,NS_NA_NCBI,Newman et al,43.1223577,-101.6157773
KJ501326,2003,USA,MT,Sheridan,USA,Pelecanus erythrorhynchos,Birds-Seabirds,1a,SW03,KJ501326,Broad Institute of MIT & Harvard,NS_NA_NCBI,Newman et al,45.4554809,-112.1969372
KJ501354,2003,USA,OK,Payne,USA,Corvus brachyrhynchos,Birds-Perching Birds,1a,SW03,KJ501354,Broad Institute of MIT & Harvard,NS_NA_NCBI,Newman et al,34.9061837,-97.5300307
KJ501382,2003,USA,MN,Otter-Tail,USA,Phalacrocorax auritus,Birds-Seabirds,1a,WN02,KJ501382,Broad Institute of MIT & Harvard,NS_NA_NCBI,Newman et al,46.425516,-95.5572643
KJ501327,2003,USA,MT,Phillips,USA,Haliaeetus leucocephalus,Birds-Hawks and Eagles,1a,WN02,KJ501327,Broad Institute of MIT & Harvard,NS_NA_NCBI,Newman et al,48.4519289,-107.8777779
KJ501372,2003,USA,FL,Seminole,USA,Coragyps atratus,Birds-Vultures,1a,WN02,KJ501372,Broad Institute of MIT & Harvard,NS_NA_NCBI,Newman et al,27.8397466,-82.7912134
KJ501350,2003,USA,ND,Sargent,USA,Pelecanus erythrorhynchos,Birds-Seabirds,1a,WN02,KJ501350,Broad Institute of MIT & Harvard,NS_NA_NCBI,Newman et al,46.1089195,-97.6152418
KJ501504,2003,USA,ND,Burleigh,USA,Branta canadensis,Birds-Waterfowls,1a,WN02,KJ501504,Broad Institute of MIT & Harvard,NS_NA_NCBI,Newman et al,47.0448552,-100.5049676
KJ501467,2002,USA,MI,Wayne,USA,Bubo virginianus,Birds-Owls,1a,WN02,KJ501467,Broad Institute of MIT & Harvard,NS_NA_NCBI,Newman et al,42.2814269,-83.3863214
KJ501506,2003,USA,OK,Payne,USA,Corvus brachyrhynchos,Birds-Perching Birds,1a,WN02,KJ501506,Broad Institute of MIT & Harvard,NS_NA_NCBI,Newman et al,34.9061837,-97.5300307
KJ501488,2003,USA,ND,Stutsman,USA,Pelecanus erythrorhynchos,Birds-Seabirds,1a,WN02,KJ501488,Broad Institute of MIT & Harvard,NS_NA_NCBI,Newman et al,46.939184,-98.9909139
KJ501331,2002,USA,OH,Montgomery,USA,Buteo jamaicensis,Birds-Hawks and Eagles,1a,WN02,KJ501331,Broad Institute of MIT & Harvard,NS_NA_NCBI,Newman et al,39.2281143,-84.3541062
KJ501256,2009,USA,ND,Mountrail,USA,Pelecanus erythrorhynchos,Birds-Seabirds,1a,WN02,KJ501256,Broad Institute of MIT & Harvard,NS_NA_NCBI,Newman et al,48.2169859,-102.326433
KJ501499,2003,USA,MD,Prince-George's,USA,Falco sparverius,Birds-Hawks and Eagles,1a,WN02,KJ501499,Broad Institute of MIT & Harvard,NS_NA_NCBI,Newman et al,38.7849211,-76.8720961
KJ501346,2003,USA,MO,Holt,USA,Pelecanus erythrorhynchos,Birds-Seabirds,1a,WN02,KJ501346,Broad Institute of MIT & Harvard,NS_NA_NCBI,Newman et al,39.4527802,-94.3421687
KJ501376,2002,USA,OH,Medina,USA,Bubo virginianus,Birds-Owls,1a,SW03,KJ501376,Broad Institute of MIT & Harvard,NS_NA_NCBI,Newman et al,41.143245,-81.8552196
KJ501322,2002,USA,MN,Marshall,USA,Pelecanus erythrorhynchos,Birds-Seabirds,1a,WN02,KJ501322,Broad Institute of MIT & Harvard,NS_NA_NCBI,Newman et al,44.448423,-95.7911916
KJ501479,2002,USA,KY,Boone,USA,Passer domesticus,Birds-Perching Birds,1a,WN02,KJ501479,Broad Institute of MIT & Harvard,NS_NA_NCBI,Newman et al,38.9940572,-84.7315563
KJ501237,2008,USA,MN,Lacqui-Parle,USA,Pelecanus erythrorhynchos,Birds-Seabirds,1a,WN02,KJ501237,Broad Institute of MIT & Harvard,NS_NA_NCBI,Newman et al,45.000514,-95.9061427
KJ501306,2002,USA,MI,Lenawee,USA,Buteo jamaicensis,Birds-Hawks and Eagles,1a,WN02,KJ501306,Broad Institute of MIT & Harvard,NS_NA_NCBI,Newman et al,41.8433859,-84.0167423
KJ501469,2003,USA,NE,Knox,USA,Charadrius melodus,Birds-Shorebirds,1a,WN02,KJ501469,Broad Institute of MIT & Harvard,NS_NA_NCBI,Newman et al,42.6712397,-97.87216
KJ501336,2001,USA,AL,Calhoun,USA,Cyanocitta cristata,Birds-Perching Birds,1a,WN02,KJ501336,Broad Institute of MIT & Harvard,NS_NA_NCBI,Newman et al,33.77138005,-85.82610847
KJ501453,2001,USA,WI,Racine,USA,Corvus brachyrhynchos,Birds-Perching Birds,1a,WN02,KJ501453,Broad Institute of MIT & Harvard,NS_NA_NCBI,Newman et al,42.7261309,-87.7828523
KJ501466,2002,USA,MI,Lapeer,USA,Bubo virginianus,Birds-Owls,1a,WN02,KJ501466,Broad Institute of MIT & Harvard,NS_NA_NCBI,Newman et al,43.0514161,-83.3188341
KJ501286,2002,USA,WI,Milwaukee,USA,Accipiter gentilis,Birds-Hawks and Eagles,1a,WN02,KJ501286,Broad Institute of MIT & Harvard,NS_NA_NCBI,Newman et al,43.0389025,-87.9064736
KJ501397,2002,USA,AL,Madison,USA,Cyanocitta cristata,Birds-Perching Birds,1a,WN02,KJ501397,Broad Institute of MIT & Harvard,NS_NA_NCBI,Newman et al,34.69926,-86.74833
KJ501361,2001,USA,OH,Knox,USA,Cyanocitta cristata,Birds-Perching Birds,1a,WN02,KJ501361,Broad Institute of MIT & Harvard,NS_NA_NCBI,Newman et al,39.2650701,-82.2907266
KJ501274,2001,USA,OH,Cuyahoga,USA,Corvus brachyrhynchos,Birds-Perching Birds,1a,WN02,KJ501274,Broad Institute of MIT & Harvard,NS_NA_NCBI,Newman et al,41.7048247,-81.7787021
KJ501496,2001,USA,IL,Cook,USA,Cyanocitta cristata,Birds-Perching Birds,1a,WN02,KJ501496,Broad Institute of MIT & Harvard,NS_NA_NCBI,Newman et al,41.7376587,-87.697554
KJ501377,2001,USA,OH,Allen,USA,Bubo virginianus,Birds-Owls,1a,WN02,KJ501377,Broad Institute of MIT & Harvard,NS_NA_NCBI,Newman et al,40.769946,-84.1435136
KJ501454,2001,USA,WI,Dane,USA,Corvus brachyrhynchos,Birds-Perching Birds,1a,WN02,KJ501454,Broad Institute of MIT & Harvard,NS_NA_NCBI,Newman et al,43.2505472,-89.5015088
KJ501509,2001,USA,WI,Milwaukee,USA,Euphagus cyanocephalus,Birds-Perching Birds,1a,WN02,KJ501509,Broad Institute of MIT & Harvard,NS_NA_NCBI,Newman et al,43.0389025,-87.9064736
KJ501283,2001,USA,WI,Milwaukee,USA,Corvus brachyrhynchos,Birds-Perching Birds,1a,WN02,KJ501283,Broad Institute of MIT & Harvard,NS_NA_NCBI,Newman et al,43.0389025,-87.9064736
KJ501248,2001,USA,MO,Saint-Louis,USA,Corvus brachyrhynchos,Birds-Perching Birds,1a,WN02,KJ501248,Broad Institute of MIT & Harvard,NS_NA_NCBI,Newman et al,38.6270025,-90.1994042
KJ501246,2001,USA,MO,Saint-Louis,USA,Corvus brachyrhynchos,Birds-Perching Birds,1a,WN02,KJ501246,Broad Institute of MIT & Harvard,NS_NA_NCBI,Newman et al,38.6270025,-90.1994042
KJ501247,2001,USA,MO,Saint-Louis,USA,Corvus brachyrhynchos,Birds-Perching Birds,1a,WN02,KJ501247,Broad Institute of MIT & Harvard,NS_NA_NCBI,Newman et al,38.6270025,-90.1994042
KJ501244,2001,USA,MO,Saint-Louis,USA,Corvus brachyrhynchos,Birds-Perching Birds,1a,WN02,KJ501244,Broad Institute of MIT & Harvard,NS_NA_NCBI,Newman et al,38.6270025,-90.1994042
KJ501249,2001,USA,MO,Saint-Louis,USA,Corvus brachyrhynchos,Birds-Perching Birds,1a,WN02,KJ501249,Broad Institute of MIT & Harvard,NS_NA_NCBI,Newman et al,38.6270025,-90.1994042
DQ080060,2004-08-01,MEX,Baja Calfornia Norte,Baja Calfornia Norte,Global,Corvus,Birds-Perching Birds,1a,WN02,DQ080060,University of Texas Medical Branch Department of Experimental Pathology,NS_NA_NCBI,Deardorff et al,32.663334,-115.467781
DQ983578,2003-08-01,USA,FL,FL,USA,Culex nigripalpus,Mosquitoes-Culex,1a,NY99,DQ983578,University of Florida Department of Entomology and Nematology Insect Virology Laboratory,NS_NA_NCBI,Doumbouya et al,27.994402,-81.760254
MG004541,2017-04-26,USA,AZ,Maricopa,USA,Culex quinquefasciatus,Mosquitoes-Culex,1a,WN02,MG004541,Northern Arizona University School of Informatics Computing and Cyber Systems,NS_NA_NCBI,Hepp et al,33.0581063,-112.0476423
MG004540,2015-05-12,USA,AZ,Maricopa,USA,Culex quinquefasciatus,Mosquitoes-Culex,1a,SW03,MG004540,Northern Arizona University School of Informatics Computing and Cyber Systems,NS_NA_NCBI,Hepp et al,33.0581063,-112.0476423
MG004539,2014-06-10,USA,AZ,Maricopa,USA,Culex quinquefasciatus,Mosquitoes-Culex,1a,WN02,MG004539,Northern Arizona University School of Informatics Computing and Cyber Systems,NS_NA_NCBI,Hepp et al,33.0581063,-112.0476423
MG004538,2015-10-07,USA,AZ,Maricopa,USA,Culex quinquefasciatus,Mosquitoes-Culex,1a,WN02,MG004538,Northern Arizona University School of Informatics Computing and Cyber Systems,NS_NA_NCBI,Hepp et al,33.0581063,-112.0476423
MG004537,2014-08-28,USA,AZ,Maricopa,USA,Culex quinquefasciatus,Mosquitoes-Culex,1a,SW03,MG004537,Northern Arizona University School of Informatics Computing and Cyber Systems,NS_NA_NCBI,Hepp et al,33.0581063,-112.0476423
MG004536,2016-08-25,USA,AZ,Maricopa,USA,Culex quinquefasciatus,Mosquitoes-Culex,1a,WN02,MG004536,Northern Arizona University School of Informatics Computing and Cyber Systems,NS_NA_NCBI,Hepp et al,33.0581063,-112.0476423
MG004535,2014-07-22,USA,AZ,Maricopa,USA,Culex tarsalis,Mosquitoes-Culex,1a,WN02,MG004535,Northern Arizona University School of Informatics Computing and Cyber Systems,NS_NA_NCBI,Hepp et al,33.0581063,-112.0476423
